Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts1,Chrome 85.0.4183.121,,,2020-10-10 20:39:05,2020-10-10 20:39:22,17.383s,PASSED
,,,,,,,
Test Cases/tc_00,Chrome 85.0.4183.121,,,2020-10-10 20:39:05,2020-10-10 20:39:22,16.818s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-10 20:39:06,2020-10-10 20:39:11,5.226s,PASSED
navigateToUrl(url),Chrome 85.0.4183.121,,,2020-10-10 20:39:11,2020-10-10 20:39:15,3.784s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-10 20:39:15,2020-10-10 20:39:17,1.446s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 85.0.4183.121,,,2020-10-10 20:39:17,2020-10-10 20:39:17,0.445s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-10-10 20:39:17,2020-10-10 20:39:18,0.811s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 85.0.4183.121,,,2020-10-10 20:39:18,2020-10-10 20:39:18,0.405s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 85.0.4183.121,,,2020-10-10 20:39:18,2020-10-10 20:39:19,0.815s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-10 20:39:19,2020-10-10 20:39:20,1.073s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-10 20:39:20,2020-10-10 20:39:21,0.446s,PASSED
"verifyElementText(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 85.0.4183.121,,,2020-10-10 20:39:21,2020-10-10 20:39:21,0.380s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), 30)",Chrome 85.0.4183.121,,,2020-10-10 20:39:21,2020-10-10 20:39:21,0.347s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-10 20:39:21,2020-10-10 20:39:22,0.710s,PASSED
